序号,地址1,地址2,室,厅,面积,朝向,装修,楼层,年份,楼种,价格
139,莲康苑,北蔡,2,2,79.61,南,精装,14,2014,板楼,492
140,宜川三村,甘泉宜川,1,0,33.99,东,简装,2,1956,板楼,165
141,瀚龙苑,川沙,2,2,76.3,南,精装,2,2006,板楼,310
142,武夷路344号,中山公园,2,2,112.27,南,简装,5,1995,板楼,658
143,明珠小区(川沙),川沙,2,2,94.98,南,简装,5,1997,板楼,283
144,金鹤新城双佳翠庭,江桥,1,1,58.73,南,简装,2,2007,板楼,240
145,宜浩佳园,临港新城,3,2,130.59,南北,精装,10,2009,板楼,450
146,陇南小区,华东理工,2,1,58,南,精装,5,1994,板楼,330
147,淮海花园,新华路,3,2,162.99,南,精装,21,2001,板楼,1580
148,龙柏四村,龙柏,2,1,66.15,南,精装,5,1996,板楼,375
149,巨富大厦,静安寺,3,2,180.91,南,精装,26,1996,板楼,1580
150,峨山小区,塘桥,1,1,34.72,南,精装,5,1984,板楼,197
151,天池二村,北蔡,3,1,75.78,南,精装,3,1994,板楼,450
152,大宁瑞仕花园,大宁,3,2,123.51,南,精装,3,2013,板楼,1380
153,龙柏公寓,龙柏,3,2,140.79,南北,精装,3,1996,板楼,720
154,海华花园,打浦桥,3,2,115.66,东南北,精装,28,1996,板塔结合,1145
155,宝华雅苑,长寿路,3,2,131.24,南,精装,14,2003,板楼,1280
156,碧夏小区,北新泾,3,1,83.45,南,简装,2,1995,板楼,518
157,梅园四街坊,梅园,3,1,91.26,东南,简装,6,1994,塔楼,825
158,梅园五街坊,梅园,2,1,50.45,南,简装,5,1994,板楼,666
159,鸿宝二村,西渡,3,2,79.03,南北,简装,3,1995,板楼,182
160,文怡花园,西渡,2,2,93.68,南,简装,2,2004,板楼,242
161,御景龙庭,金山,2,2,88.94,南北,简装,20,2011,板楼,158
162,鸿宝一村(北区),西渡,2,2,71.81,南,精装,5,1996,板楼,170
163,梅川一街坊,长风,2,1,56.68,南,简装,5,1992,板楼,395
164,大华一村,大华,2,2,82.09,南,简装,5,1995,板楼,432
165,古北菊翔苑(菊联路233弄),顾村,2,2,74.1,南,精装,4,2008,板楼,335
166,金地湾流域（二期569弄）,三林,3,2,86.76,南北,精装,4,2009,板塔结合,880
167,金沙鼎苑,江桥,2,2,78.44,南,毛坯,9,2012,板楼,298
168,皇都花园,七宝,4,2,173.73,南北,简装,2,2003,板楼,1388
169,绿梅二村,莘庄,2,1,65.82,南,精装,5,1996,板楼,350
170,建业新村,南码头,2,1,64.23,南,简装,2,1998,板楼,395
171,保利叶上海(一期),顾村,3,2,88.2,南北,精装,7,2010,板楼,459
172,天山新苑,天山,2,2,80.66,南,精装,5,1998,板楼,610
173,紫荆二村,安亭,3,1,89.6,南北,精装,5,1996,板楼,220
174,万科悦城,菊园新区,3,2,89.71,南,精装,7,2014,板楼,310
175,真光八街坊,真光,2,1,60.16,南,精装,5,1994,板楼,309
176,寿山坊,康健,2,1,63.42,南,简装,3,1989,板楼,400
177,雍华府(公寓),颛桥,2,2,85.73,南,精装,3,2010,板楼,520
178,印象欧洲(公寓),华泾,3,2,91.84,南,精装,4,2013,板楼,750
179,证大家园(二期),高行,3,2,115.25,南,精装,5,2002,板楼,788
180,美罗家园宝欣苑二村,罗店,2,1,68.81,南,精装,4,2015,板楼,227
181,延吉七村,黄兴公园,2,1,50.08,南北,简装,3,1986,板楼,305
182,金塔新村,颛桥,2,1,55.42,南北,简装,3,1993,板楼,199
183,新弘国际城(公寓),莘闵别墅,2,2,88.54,南,简装,4,2012,板楼,280
184,融创滨江壹号院,世博滨江,3,2,218.91,南,精装,30,2012,板楼,2398
185,仁恒滨江园,陆家嘴,3,2,130.41,南西南北,精装,30,2001,板楼,1580
186,新陕公寓,南京西路,3,2,137.37,南,精装,4,1998,板楼,1199
187,培花七村,北蔡,3,1,81.44,南,简装,2,1997,板楼,420
188,建发璟墅,新江湾城,4,3,372.74,南,精装,1,2014,板楼,2188
189,平型关路255弄,闸北公园,2,1,47.33,南北,精装,2,1988,板楼,338
190,静安风华苑,曹家渡,3,2,149.28,南,简装,26,2005,板楼,1400
191,合生江湾国际公寓,新江湾城,2,2,103.2,南,精装,3,2008,板楼,970
192,春港丽园(公寓),张江,2,1,77.09,南北,精装,5,2001,板楼,370
193,凯佳公寓二期,川沙,8,4,289.24,南北,精装,4,2016,板楼,1170
194,大华锦绣华城(二街区),北蔡,2,2,76.43,南,精装,2,2008,板楼,570
195,仙城小区,仙霞,2,1,51.68,南北,简装,3,1994,板楼,298
196,皇都花园,七宝,2,2,142.92,南,精装,10,2010,塔楼,1128
197,莱顿小城,松江大学城,3,2,116.37,南北,精装,8,2014,板楼,485
198,同润菲诗艾伦,泗泾,3,2,89.19,南,精装,4,2011,板楼,289
199,凤城三村东区,控江路,2,1,59.66,南,精装,5,1974,板楼,323
200,蓝朝部落,曹家渡,1,1,45.25,南,精装,16,2002,塔楼,405
201,浦江风景苑,东外滩,3,2,136.1,南,精装,2,2003,板楼,960
202,重华新村,南京西路,2,1,71.99,南北,精装,3,1936,板楼,860
203,旭辉依云湾,顾村,2,2,77.2,南,精装,4,2010,板楼,360
204,春江三月公寓二期,华新,3,1,93.15,南,毛坯,14,2015,板楼,270
205,美罗家园宝欣苑一村,罗店,2,1,68.96,南,毛坯,9,2015,板楼,208
206,南苑八村,嘉定老城,3,2,106.63,南,简装,5,1997,板楼,245
207,解放新村,南桥,2,1,62.96,南北,简装,1,1982,板楼,125
208,育秀九区,南桥,2,2,88.36,南,简装,2,1998,板楼,196
209,万科琥珀郡园,罗店,3,2,98.74,南,精装,6,2012,板楼,529
210,佳宝新村,七宝,2,1,65.68,南,毛坯,3,1994,板楼,359
211,长春新苑,田林,1,1,56.75,南,毛坯,3,1996,板楼,400
212,绿地名人坊,黄浦滨江,4,3,222.06,南北,精装,14,2003,板楼,1880
213,天池二村,北蔡,3,1,73.71,南,简装,2,1994,板楼,400
214,绿地蔷薇九里(公寓),松江大学城,3,1,111.77,南北,精装,3,2012,板楼,468
215,大华锦绣华城(一街区),北蔡,3,2,102.43,南,精装,4,2008,板楼,669
216,象屿名城,九亭,3,2,129.03,南北,精装,4,2011,板塔结合,598
217,绿洲城市花园,长寿路,2,2,120.14,南北,简装,5,1999,板楼,930
218,华丽家族古北花园,古北,3,2,210.27,南,精装,5,2005,板楼,1850
219,云锦东方(公寓),龙华,3,2,198.9,南,精装,4,2014,板楼,2950
220,文馨苑,康健,3,2,135.94,南,精装,3,2005,板楼,1320
221,徐汇馨苑,龙华,2,2,83.35,南,毛坯,12,2010,板楼,810
222,康怡苑,长寿路,1,1,44.69,南,精装,6,1990,塔楼,329.8
223,绿城玉兰花园(二期),唐镇,4,2,184.18,南,精装,4,2013,板楼,1550
224,申地苑,闸北公园,2,2,81.58,南,简装,4,2001,板楼,570
225,新梅公寓一期,古美,3,2,110.22,南,简装,6,1999,板楼,579
226,古北国际花园,古北,3,2,184.32,南北,精装,26,2006,板楼,1950
227,瑞丰园,上大,2,1,88.42,南,简装,9,2005,板楼,425
228,西郊九韵城,华漕,2,2,73.93,南,毛坯,3,2005,板楼,310
229,祥和花苑(公寓),松江新城,2,1,89.21,南,简装,2,2004,板楼,312
230,住友名人花园,金杨,3,1,102.45,南北,简装,5,2000,板楼,760
231,杨镇新村,张江,3,1,85.97,南北,精装,4,1994,板楼,419
232,新城上坤樾山美墅,泗泾,5,4,166.73,南北,精装,1,2017,板楼,1193
233,保辉香景园,新江湾城,3,2,155.38,南北,精装,4,2012,板楼,1560
234,东方悦居,杨思前滩,1,1,51.85,南,精装,14,2008,板楼,380
235,宝景苑,淞南,2,1,88.8,南,精装,6,2008,板楼,485
236,鹏宏苑,北蔡,1,1,58.92,南北,简装,6,2009,板楼,340
237,万科金色华亭,松江老城,3,2,89.34,南,精装,6,2013,板楼,353
238,象屿都城,九亭,2,2,91.26,南,精装,6,2011,板楼,367
239,莱顿小城,松江大学城,3,2,153.26,南北,毛坯,4,2007,板楼,525
